Title and Author,Links
THE BEE STING by Paul Murray,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-bee-sting-paul-murray:~:text=FICTION-,THE%20BEE%20STING,-by%20Paul%20Murray"
CHAIN GANG ALL STARS by Nana Kwame Adjei-Brenyah,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-bee-sting-paul-murray:~:text=CHAIN%20GANG%20ALL%20STARS
EASTBOUND by Maylis de Kerangal,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-bee-sting-paul-murray:~:text=FICTION-,EASTBOUND,-by%20Maylis%20de"
THE FRAUD by Zadie Smith,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-bee-sting-paul-murray:~:text=HISTORICAL%20FICTION-,THE%20FRAUD,-by%20Zadie%20Smith"
NORTH WOODS by Daniel Mason,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-bee-sting-paul-murray:~:text=HISTORICAL%20FICTION-,NORTH%20WOODS,-by%20Daniel%20Mason"
THE BEST MINDS by Jonathan Rosen,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-bee-sting-paul-murray:~:text=MEMOIR-,THE%20BEST%20MINDS,-by%20Jonathan%20Rosen"
BOTTOMS UP AND THE DEVIL LAUGHS by Kerry Howley,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-bee-sting-paul-murray:~:text=BOTTOMS%20UP%20AND%20THE%20DEVIL%20LAUGHS
FIRE WEATHER by John Vaillant,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-bee-sting-paul-murray:~:text=NARRATIVE%20NONFICTION-,FIRE%20WEATHER,-by%20John%20Vaillant"
MASTER SLAVE HUSBAND WIFE by Ilyon Woo,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-bee-sting-paul-murray:~:text=MASTER%20SLAVE%20HUSBAND%20WIFE
SOME PEOPLE NEED KILLING by Patricia Evangelista,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-bee-sting-paul-murray:~:text=SOME%20PEOPLE%20NEED%20KILLING
THE CANDY HOUSE by Jennifer Egan,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-candy-house-jennifer-egan:~:text=FICTION-,THE%20CANDY%20HOUSE,-by%20Jennifer%20Egan"
CHECKOUT 19 by Claire-Louise Bennett,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-candy-house-jennifer-egan:~:text=FICTION-,CHECKOUT%2019,-by%20Claire%2DLouise"
DEMON COPPERHEAD by Barbara Kingsolver,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-candy-house-jennifer-egan:~:text=FICTION-,DEMON%20COPPERHEAD,-by%20Barbara%20Kingsolver"
THE FURROWS by Namwali Serpell,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-candy-house-jennifer-egan:~:text=FICTION-,THE%20FURROWS,-by%20Namwali%20Serpell"
TRUST by Hernan Diaz,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-candy-house-jennifer-egan:~:text=HISTORICAL%20FICTION-,TRUST,-by%20Hernan%20Diaz"
AN IMMENSE WORLD by Ed Yong,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-candy-house-jennifer-egan:~:text=SCIENCE-,AN%20IMMENSE%20WORLD,-by%20Ed%20Yong"
STAY TRUE by Hua Hsu,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-candy-house-jennifer-egan:~:text=MEMOIR-,STAY%20TRUE,-by%20Hua%20Hsu"
STRANGERS TO OURSELVES by Rachel Aviv,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-candy-house-jennifer-egan:~:text=STRANGERS%20TO%20OURSELVES
UNDER THE SKIN by Linda Villarosa,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-candy-house-jennifer-egan:~:text=SCIENCE-,UNDER%20THE%20SKIN,-by%20Linda%20Villarosa"
WE DON'T KNOW OURSELVES by Fintan O’Toole,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-candy-house-jennifer-egan:~:text=WE%20DON%27T%20KNOW%20OURSELVES
HOW BEAUTIFUL WE WERE by Imbolo Mbue,https://www.nytimes.com/interactive/2024/books/top-books-list.html#how-beautiful-we-were-imbolo-mbue:~:text=HOW%20BEAUTIFUL%20WE%20WERE
INTIMACIES by Katie Kitamura,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#how-beautiful-we-were-imbolo-mbue:~:text=FICTION-,INTIMACIES,-by%20Katie%20Kitamura"
THE LOVE SONGS OF W.E.B. DU BOIS by Honorée Fanonne Jeffers,https://www.nytimes.com/interactive/2024/books/top-books-list.html#how-beautiful-we-were-imbolo-mbue:~:text=THE%20LOVE%20SONGS%20OF%20W.E.B.%20DU%20BOIS
NO ONE IS TALKING ABOUT THIS by Patricia Lockwood,https://www.nytimes.com/interactive/2024/books/top-books-list.html#how-beautiful-we-were-imbolo-mbue:~:text=NO%20ONE%20IS%20TALKING%20ABOUT%20THIS
WHEN WE CEASE TO UNDERSTAND THE WORLD by Benjamín Labatut,https://www.nytimes.com/interactive/2024/books/top-books-list.html#how-beautiful-we-were-imbolo-mbue:~:text=WHEN%20WE%20CEASE%20TO%20UNDERSTAND%20THE%20WORLD
THE COPENHAGEN TRILOGY by Tove Ditlevsen,https://www.nytimes.com/interactive/2024/books/top-books-list.html#how-beautiful-we-were-imbolo-mbue:~:text=THE%20COPENHAGEN%20TRILOGY
"HOW THE WORD IS PASSED by Clint Smith
",https://www.nytimes.com/interactive/2024/books/top-books-list.html#how-beautiful-we-were-imbolo-mbue:~:text=HOW%20THE%20WORD%20IS%20PASSED
