Unnamed: 0.3,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal,survey
36,79,79,79,79,ECON5_d_W54,"{1.0: 'Helping a lot', 2.0: 'Helping a little', 3.0: 'Hurting a little', 4.0: 'Hurting a lot', 5.0: 'Neither helping nor hurting', 99.0: 'Refused'}",Do you think the country's current economic conditions are helping or hurting people who are poor?,"['Helping a lot', 'Helping a little', 'Hurting a little', 'Hurting a lot', 'Neither helping nor hurting', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]",Pew_American_Trends_Panel_W54
10,37,37,37,37,GOVPRIOfF1_W41,"{1.0: 'A top priority', 2.0: 'An important, but not a top priority', 3.0: 'A lower priority', 4.0: 'Should not be done', 99.0: 'Refused'}","If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing military spending?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W41
48,100,100,100,100,WORRY2d_W54,"{1.0: 'Every day', 2.0: 'Almost every day', 3.0: 'Sometimes', 4.0: 'Rarely', 5.0: 'Never', 99.0: 'Refused'}","How often, if ever, do you worry about the cost of health care for you and your family?","['Every day', 'Almost every day', 'Sometimes', 'Rarely', 'Never', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0]",Pew_American_Trends_Panel_W54
23,52,52,52,52,WHYNOTBIZF2G_W36,"{1.0: 'Major reason', 2.0: 'Minor reason', 3.0: 'Not a reason', 99.0: 'Refused'}","For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women are held to higher standards than men","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W36
12,43,43,43,43,CONTROLGRPc_W49,"{1.0: 'A lot of control', 2.0: 'A little control', 3.0: 'No control', 99.0: 'Refused'}","How much control, if any, do you think you have over who can access the purchases you've made, either online or in person?","['A lot of control', 'A little control', 'No control', 'Refused']","[1.0, 2.0, 3.0]",Pew_American_Trends_Panel_W49
7,23,23,23,23,COMMIMPG_W32,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","How important is it to you, personally, to live in a community with a strong sense of community","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W32
48,105,105,105,105,TRAITPOLWF1F_W36,"{1.0: ""Mostly helps a woman's chances"", 2.0: ""Mostly hurts a woman's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think showing emotions impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
11,26,26,26,26,RACESURV5l_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being wealthy affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]",Pew_American_Trends_Panel_W43
40,64,64,64,64,CARRYGUN_W26,"{1.0: 'All of the time', 2.0: 'Most of the time', 3.0: 'Only some of the time', 4.0: 'Never', 99.0: 'Refused'}","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
30,47,47,47,47,GROWUPGUN7_W26,"{1.0: 'Often', 2.0: 'Sometimes', 3.0: 'Hardly ever', 4.0: 'Never', 99.0: 'Refused'}","How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
55,113,113,113,113,TRAITPOLMF1G_W36,"{1.0: ""Mostly helps a man's chances"", 2.0: ""Mostly hurts a man's chances"", 3.0: ""Doesn't make much of a difference"", 99.0: 'Refused'}","In general, how do you think being physically attractive impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W36
