Task Type,Model,Dataset,Wave,Demographic Group/Avg,Demographic/Avg,Output Type,TV,all_tvs
task5,gpt-3.5-turbo-0125,opinionqa,Pew_American_Trends_Panel_disagreement_100,POLPARTY,Democrat,express_distribution,0.33481,"[0.2392523364485981, 0.12431421446384038, 0.17500000000000002, 0.46905857740585766, 0.21828919112383685, 0.05373119358074223, 0.7947368421052632, 0.1921212121212121, 0.1506790799561884, 0.43523431294678316, 0.5232728676186801, 0.025994962216624732, 0.34214380825565915, 0.22267716535433071, 0.1453148614609572, 0.26870967741935486, 0.24594993581514762, 0.39841917024320456, 0.020799999999999996, 0.05806270996640535, 0.6551792828685259, 0.5608356290174472, 0.5069670958512159, 0.6437383177570093, 0.40650190114068446, 0.4959207675642216, 0.3772766884531591, 0.16998142989786447, 0.365945945945946, 0.3023809523809524, 0.601900826446281, 0.6471346704871059, 0.012621359223300953, 0.41491228070175434, 0.5228622816032887, 0.31596409780253787, 0.3693859649122807, 0.5267543859649123, 0.1876261937244202, 0.27224043715846996, 0.274858934169279, 0.29189526184538656, 0.36289473684210527, 0.4895867768595042, 0.15303030303030304, 0.08427184466019419, 0.36260744985673354, 0.6071633237822349, 0.4179439252336449, 0.21776315789473685, 0.33855855855855854, 0.35077253218884125, 0.04470588235294119, 0.15540078843626806, 0.19956140350877194, 0.0899561403508772, 0.2683442838370565, 0.6378223495702006, 0.23833178582482206, 0.5847058823529412, 0.5976978417266187, 0.03766990291262133, 0.7529824561403509, 0.12180209171359614, 0.14806520704426468, 0.3509803921568627, 0.5709412711182623, 0.13, 0.23385964912280702, 0.3321467688937568, 0.444880174291939, 0.4485343855693348, 0.5365647626709573, 0.3102923976608187, 0.3520505200594354, 0.1717543859649123, 0.1154593874833555, 0.3211501254030813, 0.3582760755184154, 0.22499999999999998, 0.2744736842105263, 0.7590807799442898, 0.2408564231738035, 0.30429133858267715, 0.18968819599109127, 0.36809885931558933, 0.2827181688125894, 0.4155737704918033, 0.33026845637583896, 0.4792156862745097, 0.13581706063720456, 0.6121052631578947, 0.43361774744027304, 0.38776539770968743, 0.3861842105263158, 0.16995642701525057, 0.9927594529364441, 0.15252427184466022, 0.15144638403990027, 0.22426229508196718]"
task5,gpt-3.5-turbo-0125,opinionqa,Pew_American_Trends_Panel_disagreement_100,POLPARTY,Republican,express_distribution,0.28924,"[0.27352331606217617, 0.2589509306260575, 0.09797990297990299, 0.21231749710312858, 0.26153955808980756, 0.07957446808510639, 0.15211920529801323, 0.256140350877193, 0.2609472049689442, 0.20375139977603585, 0.5385784716516023, 0.025981308411214973, 0.3188372093023256, 0.4659872611464968, 0.12275700934579441, 0.26471571906354513, 0.2795774647887324, 0.13043795620437953, 0.07905472636815919, 0.20855148342059338, 0.5447444204463643, 0.5366581306017925, 0.7286496350364964, 0.2060103626943005, 0.34, 0.9162439362439363, 0.26944785276073613, 0.43562023562023566, 0.15979591836734697, 0.2406815578465063, 0.21769647696476968, 0.14654596100278552, 0.11227272727272729, 0.28582781456953643, 0.5769565217391304, 0.320984060984061, 0.05993377483443708, 0.4695774647887324, 0.596056838365897, 0.16082966226138032, 0.3474452554744526, 0.09567681895093062, 0.15930463576158943, 0.18035230352303525, 0.7132855567805954, 0.09909090909090909, 0.3489693593314763, 0.3958217270194986, 0.17383419689119173, 0.23642384105960262, 0.2875432525951557, 0.32619047619047614, 0.13595264937993237, 0.2888560885608856, 0.1577483443708609, 0.2990066225165563, 0.18749077490774907, 0.30178272980501397, 0.1934372834372834, 0.48510710259301015, 0.34304347826086956, 0.028831168831168836, 0.15000000000000002, 0.3029032258064516, 0.16759546209186496, 0.04441939120631342, 0.12942157953281422, 0.15049429657794675, 0.07794701986754969, 0.3626242236024845, 0.38717791411042946, 0.4391666666666666, 0.39853170189098996, 0.5746280991735537, 0.21029535864978904, 0.3304966887417219, 0.11764119601328903, 0.4220669992872416, 0.26553014553014553, 0.13443708609271524, 0.5732450331125828, 0.34202356202356204, 0.3286292834890966, 0.3897540983606557, 0.08140845070422537, 0.06867768595041322, 0.7368613138686132, 0.18675477239353888, 0.3881376518218624, 0.31585118376550175, 0.22739130434782612, 0.49370860927152316, 0.4390123456790124, 0.5143451143451143, 0.19006622516556293, 0.28435582822085886, 0.5373748609566185, 0.057012987012987015, 0.17817258883248727, 0.3248458149779736]"
task5,gpt-3.5-turbo-0125,opinionqa,Pew_American_Trends_Panel_disagreement_100,SEX,Male,express_distribution,0.25713,"[0.12146341463414632, 0.1656968463886063, 0.30560246262093227, 0.27128627731995697, 0.2953472222222222, 0.06471885336273428, 0.34963446475195825, 0.19870010235414537, 0.21775764439411097, 0.2524911261697321, 0.4449262994569433, 0.047272727272727286, 0.34528925619834716, 0.4506944444444445, 0.07363636363636361, 0.3993048128342246, 0.2718055555555555, 0.06232804232804236, 0.05521739130434786, 0.3848314606741573, 0.3601502629601803, 0.7030555555555557, 0.23735191637630662, 0.2860762331838565, 0.14935795954265607, 0.2581978798586573, 0.3916974494283202, 0.3000000000000001, 0.0559445178335535, 0.4717391304347826, 0.17916666666666664, 0.05369863013698631, 0.25234986945169713, 0.6709119496855347, 0.13106420404573438, 0.4206266318537859, 0.13805309734513277, 0.21312741312741312, 0.1543810786914235, 0.0869808027923211, 0.09694811800610373, 0.3092080069625761, 0.34695652173913044, 0.3811510791366906, 0.1560958904109589, 0.3218055555555556, 0.6213888888888888, 0.04425087108013935, 0.02402088772845952, 0.16358803986710962, 0.10301724137931036, 0.11224383916990918, 0.20978723404255323, 0.1369190600522193, 0.09588337684943428, 0.2293617021276596, 0.7783333333333333, 0.38496921723834654, 0.11176394293125809, 0.5459748427672956, 0.05301369863013696, 0.1902785030461271, 0.23070648683365447, 0.14, 0.25655642023346303, 0.34411046885035323, 0.3843933054393306, 0.13399042645778936, 0.14886749716874292, 0.39646643109540636, 0.3085123966942149, 0.017745664739884367, 0.42000000000000004, 0.1445672191528545, 0.22999999999999998, 0.08603305785123969, 0.47485059068797775, 0.14266490765171502, 0.17506527415143602, 0.3703220191470844, 0.3713720316622691, 0.2927272727272728, 0.4191860465116279, 0.015328467153284646, 0.28183856502242155, 0.36847222222222226, 0.21501326259946948, 0.09217732884399547, 0.33933852140077825, 0.2179559748427673, 0.6280026109660574, 0.32964143426294823, 0.5090325417766051, 0.3986335944299391, 0.26809187279151947, 0.23077071290944126, 0.08678082191780823, 0.09708036622583928, 0.18065428824049515]"
task5,gpt-3.5-turbo-0125,opinionqa,Pew_American_Trends_Panel_disagreement_100,SEX,Female,express_distribution,0.27213,"[0.10932952924393724, 0.1421031426269138, 0.2737843627275972, 0.22552901023890784, 0.2671862509992006, 0.02526772793053545, 0.4646647847565279, 0.1957347100873709, 0.22941600443540935, 0.3306991525423729, 0.41883428228948155, 0.040463121783876496, 0.0, 0.3392391304347826, 0.15439965694682675, 0.23175869120654402, 0.24346473029045643, 0.32455638695884553, 0.022404006677796354, 0.1388444830582102, 0.5110121457489878, 0.4079368932038835, 0.6460021378941743, 0.1333666191155492, 0.47939359267734555, 0.32799714387718676, 0.2432581100141044, 0.23702963227418783, 0.29453125, 0.02534833869239013, 0.5677094972067039, 0.1336450584484591, 0.05521968365553605, 0.15875088214537758, 0.525197628458498, 0.15872545519457337, 0.18212420606916022, 0.12193548387096777, 0.4111218568665377, 0.20550682961897915, 0.18738783649052843, 0.11557614826752616, 0.24816513761467895, 0.2659217877094972, 0.4282501918649271, 0.25410369068541305, 0.3253613177470776, 0.4817109458023379, 0.138074179743224, 0.2044107268877911, 0.228013468013468, 0.07382022471910116, 0.056768743400211194, 0.2395302013422819, 0.17784756527875795, 0.1966196189131969, 0.32426174496644294, 0.43240170031880976, 0.47550517672259907, 0.18791974656810986, 0.5995652173913044, 0.03710017574692443, 0.43426252646436136, 0.11354941551540912, 0.2720603015075377, 0.15083421330517421, 0.3106907545164718, 0.23551782682512729, 0.1626393789696542, 0.18953982627980037, 0.5113540197461213, 0.3945647731916633, 0.20094580233793838, 0.3526470588235294, 0.34523809523809523, 0.3056704304869442, 0.13, 0.3937526652452026, 0.1920778293466619, 0.17110797459421312, 0.4183556810162315, 0.3397715101749375, 0.41099485420240145, 0.3823134328358209, 0.20149012567324953, 0.4009153318077803, 0.388439337252806, 0.30452192667145933, 0.040851887705711555, 0.26712777191129883, 0.3264822134387352, 0.7290684544812985, 0.38671284634760705, 0.5624027133166727, 0.3610021171489062, 0.10957686882933715, 0.4043995749202976, 0.14094903339191567, 0.21088638195004034, 0.27881020848310567]"
task5,gpt-3.5-turbo-0125,opinionqa,Pew_American_Trends_Panel_disagreement_100,RACE,Black,express_distribution,0.28336,"[0.2533884297520661, 0.20985347985347985, 0.4397142857142856, 0.14214123006833712, 0.7335704874835309, 0.21227272727272728, 0.46215686274509804, 0.162, 0.07896361631753032, 0.5017613636363636, 0.3564285714285714, 0.03663366336633662, 0.32519230769230767, 0.18913043478260871, 0.0556435643564356, 0.4096356275303644, 0.26776595744680853, 0.5266666666666667, 0.06333333333333334, 0.03773584905660376, 0.3021852098600933, 0.33602006688963215, 0.6960000000000001, 0.17504132231404962, 0.2268181818181818, 0.39228571428571424, 0.42161290322580647, 0.1685714285714286, 0.30353535353535355, 0.19398280802292267, 0.4956716417910448, 0.26734375, 0.06943396226415095, 0.07500000000000004, 0.5969811320754718, 0.3254285714285714, 0.046274509803921574, 0.2032258064516129, 0.2737278106508876, 0.06451612903225806, 0.07499999999999998, 0.051336996336996316, 0.2599019607843137, 0.23850746268656714, 0.1342081447963801, 0.1469811320754717, 0.33187500000000003, 0.5655208333333334, 0.025454545454545476, 0.04529411764705881, 0.24128440366972476, 0.14750000000000002, 0.40704545454545454, 0.32950672645739915, 0.17392156862745095, 0.3150980392156863, 0.2460986547085202, 0.5797395833333334, 0.26914285714285713, 0.38977272727272727, 0.3139622641509434, 0.04094339622641512, 0.6537254901960785, 0.07761363636363634, 0.3227485380116959, 0.33511363636363634, 0.42374999999999996, 0.35705882352941176, 0.1955882352941176, 0.28906284454244763, 0.49193548387096775, 0.43252747252747253, 0.43897727272727277, 0.29666666666666663, 0.24197889182058047, 0.13921568627450984, 0.20961538461538462, 0.8554743083003952, 0.3948571428571429, 0.16999999999999998, 0.2870588235294118, 0.5654285714285714, 0.35277227722772275, 0.37657657657657656, 0.21553398058252426, 0.21363636363636362, 0.2193333333333333, 0.16548387096774192, 0.052268041237113365, 0.2613636363636364, 0.13537735849056604, 0.4568627450980392, 0.4847619047619048, 0.31600000000000006, 0.32843137254901966, 0.23548387096774193, 0.2710227272727273, 0.0630188679245283, 0.22243589743589742, 0.3617741935483871]"
task5,gpt-3.5-turbo-0125,opinionqa,Pew_American_Trends_Panel_disagreement_100,RACE,White,express_distribution,0.25931,"[0.19817813765182188, 0.12372333942717857, 0.12193113772455089, 0.2740888505499245, 0.27067400734067404, 0.06220973782771536, 0.37787570045848196, 0.12508825319537428, 0.2038430816799794, 0.21014981983690498, 0.5355407969639469, 0.031137855579868725, 0.3677948175568483, 0.3970149253731343, 0.08840262582056896, 0.24093749999999997, 0.3187192118226601, 0.1761627906976744, 0.06629139072847681, 0.2694584031267448, 0.6726729348556078, 0.4023306948109059, 0.5686378737541528, 0.14194331983805666, 0.365, 0.037320359281437114, 0.28250000000000003, 0.21563872255489022, 0.3543426294820717, 0.2334331797235023, 0.40717948717948715, 0.19493297587131364, 0.06619205298013243, 0.19895058583800307, 0.41150289017341046, 0.07953592814371258, 0.1216861946001019, 0.04262813522355508, 0.3454707985697258, 0.1750506126798082, 0.07921225382932164, 0.08452468007312615, 0.26305909322465615, 0.3146153846153847, 0.37340659340659343, 0.047991169977924956, 0.42343163538873996, 0.2779892761394102, 0.1548178137651822, 0.06640855832908811, 0.1677933261571582, 0.2295843520782396, 0.1692452830188679, 0.2949534450651769, 0.11694854814060113, 0.07711665817626082, 0.2246617008069522, 0.6968900804289544, 0.562125748502994, 0.13245283018867923, 0.3634104046242774, 0.04858719646799115, 0.1625878757004585, 0.14207396111322912, 0.11000000000000001, 0.23660377358490567, 0.3246282882195959, 0.34285018270401946, 0.1407386653082017, 0.44229064674053076, 0.37645833333333334, 0.5002886381527158, 0.14834540602363705, 0.4374534161490683, 0.22061711079943896, 0.076365257259297, 0.1717821258593337, 0.5273146292585171, 0.3347005988023952, 0.14360672440142636, 0.4697758532857871, 0.22434630738522954, 0.3877242888402626, 0.4719496855345912, 0.1482598607888631, 0.3008849557522124, 0.5238538205980067, 0.35029302077783697, 0.24051546391752576, 0.2624528301886792, 0.13289017341040466, 0.5942103922567499, 0.3462068965517241, 0.38560878243512975, 0.32685175751400913, 0.25312500000000004, 0.24804803659931382, 0.06282560706401763, 0.15152955514929922, 0.2657911561001598]"
task1,gpt-3.5-turbo-0125,opinionqa,Pew_American_Trends_Panel_disagreement_100,POLPARTY,Democrat,express_distribution,0.32252,"[0.1874766355140187, 0.3397755610972569, 0.3028226555246054, 0.37801255230125524, 0.3045597709377237, 0.11971915747241726, 0.16118421052631576, 0.5187878787878788, 0.17520262869660458, 0.5, 0.3703705133153222, 0.09974811083123426, 0.46335552596537943, 0.3422047244094488, 0.1643576826196473, 0.21945259042033238, 0.6377150192554557, 0.10613733905579398, 0.45320000000000005, 0.45739081746920496, 0.6908330315103224, 0.33525252525252525, 0.5, 0.3637383177570094, 0.1626996197718631, 0.024079232435778388, 0.45649237472766885, 0.43635716496440735, 0.365945945945946, 0.146984126984127, 0.641900826446281, 0.22068767908309453, 0.19791262135922333, 0.17052631578947364, 0.23653648509763614, 0.561553698545342, 0.5993859649122807, 0.5567543859649123, 0.07762619372442017, 0.3637158469945356, 0.40015673981191224, 0.11324189526184537, 0.4028947368421052, 0.4392561983471075, 0.4986868686868686, 0.3271844660194175, 0.11472779369627509, 0.7142979942693408, 0.36093457943925233, 0.33390350877192987, 0.5040540540540541, 0.268068669527897, 0.505686274509804, 0.4976084099868594, 0.274561403508772, 0.060526315789473706, 0.2879632063074901, 0.4661604584527221, 0.19576601671309196, 0.24647058823529414, 0.7402261048304214, 0.21553398058252426, 0.46298245614035083, 0.1481979082864039, 0.3368776772965255, 0.33843137254901956, 0.1160257441673371, 0.5789821882951653, 0.1606578947368421, 0.02316538882803944, 0.614880174291939, 0.3031679819616685, 0.3091230893000804, 0.4202923976608187, 0.16817236255572066, 0.14517543859649126, 0.5, 0.39362952346829094, 0.14425255338904364, 0.13500000000000004, 0.2778508771929824, 0.5654286598576292, 0.3758186397984887, 0.03902887139107608, 0.15746102449888638, 0.49847908745247144, 0.19609442060085835, 0.1552459016393443, 0.031677852348993285, 0.49999999999999994, 0.23276464542651593, 0.21539473684210525, 0.18201365187713314, 0.4245961002785515, 0.4563157894736841, 0.08039215686274512, 0.547308930008045, 0.3174757281553398, 0.20795511221945137, 0.11371584699453553]"
task1,gpt-3.5-turbo-0125,opinionqa,Pew_American_Trends_Panel_disagreement_100,POLPARTY,Republican,express_distribution,0.32915,"[0.34834196891191704, 0.12267343485617595, 0.578004158004158, 0.5252607184241019, 0.5, 0.3704255319148937, 0.2725165562913907, 0.5, 0.3159006211180124, 0.23184770436730123, 0.6129170090386195, 0.42373831775700926, 0.09850498338870434, 0.17216560509554144, 0.3822429906542056, 0.21304347826086956, 0.6018309859154931, 0.5204379562043796, 0.3977114427860696, 0.07788830715532286, 0.3153635709143269, 0.46496798975672216, 0.15072992700729926, 0.2808290155440414, 0.32537190082644624, 0.6234788634788635, 0.3879754601226994, 0.1796604296604296, 0.18979591836734694, 0.1618098510882016, 0.3022764227642277, 0.14818941504178273, 0.3907792207792208, 0.18178807947019868, 0.22521739130434779, 0.3616285516285517, 0.2960264900662252, 0.07676056338028169, 0.0901065719360569, 0.35995594713656387, 0.15255474452554746, 0.4231133671742809, 0.4543046357615894, 0.28563685636856373, 0.21328555678059535, 0.4492207792207792, 0.4236768802228412, 0.4471866295264624, 0.26989637305699476, 0.3209933774834437, 0.6050173010380623, 0.165, 0.22693348365276209, 0.305239852398524, 0.1731788079470199, 0.30913907284768216, 0.5, 0.32821727019498603, 0.2567567567567568, 0.16722660653889512, 0.6230434782608696, 0.5414285714285714, 0.42827814569536427, 0.21406006674082312, 0.5470060874377422, 0.3355580608793686, 0.23153503893214683, 0.22699619771863117, 0.569205298013245, 0.3401086956521739, 0.6525153374233129, 0.2983333333333334, 0.5254505005561736, 0.3403305785123967, 0.5, 0.21092715231788078, 0.5375415282392026, 0.34444048467569494, 0.12654885654885656, 0.08688741721854304, 0.48264900662251653, 0.40998613998614003, 0.08239875389408097, 0.44524590163934424, 0.10028169014084509, 0.15041322314049588, 0.5368613138686131, 0.1567547723935389, 0.023137651821862337, 0.11719278466741831, 0.13391304347826088, 0.11304635761589402, 0.39481481481481484, 0.524989604989605, 0.5514569536423841, 0.14809815950920246, 0.28737486095661846, 0.4431818181818182, 0.3779357021996616, 0.5]"
task1,gpt-3.5-turbo-0125,opinionqa,Pew_American_Trends_Panel_disagreement_100,SEX,Male,express_distribution,0.27775,"[0.20226480836236935, 0.3456968463886063, 0.5, 0.43795055535650307, 0.4090972222222222, 0.32528114663726576, 0.21436031331592692, 0.25403275332650976, 0.15892412231030578, 0.13279444982252342, 0.22230411171450737, 0.13454545454545452, 0.1186776859504132, 0.30791666666666667, 0.30636363636363634, 0.4475401069518717, 0.18180555555555555, 0.5, 0.21521739130434786, 0.5848314606741573, 0.445687453042825, 0.46388888888888896, 0.23386759581881533, 0.1980269058295964, 0.5100879507475813, 0.3692226148409894, 0.11927880386983289, 0.25333333333333335, 0.21220607661822982, 0.6730434782608696, 0.05152777777777777, 0.3436301369863014, 0.24381201044386422, 0.29418238993710694, 0.3069129287598944, 0.4115143603133159, 0.11920353982300885, 0.2602316602316602, 0.31656940760389035, 0.1530191972076789, 0.18842319430315363, 0.42119234116623155, 0.20826086956521742, 0.26115107913669067, 0.21575342465753428, 0.03472222222222224, 0.5255555555555556, 0.21480836236933798, 0.136118363794604, 0.37182724252491695, 0.21129310344827587, 0.14381322957198445, 0.2297872340425532, 0.07325500435161011, 0.14588337684943425, 0.5, 0.14930555555555555, 0.12496921723834649, 0.24644617380025946, 0.530566037735849, 0.3753424657534246, 0.03941688424717145, 0.16572254335260114, 0.5135213563743072, 0.275201037613489, 0.15411046885035323, 0.16692468619246859, 0.3267188859878155, 0.18857304643261608, 0.4710247349823321, 0.3430578512396695, 0.10105973025048168, 0.42031250000000003, 0.2427255985267035, 0.17947780678851177, 0.3177685950413223, 0.22129951355107716, 0.08718557607739665, 0.49999999999999994, 0.6124891209747606, 0.41547053649956023, 0.11727272727272725, 0.21918604651162787, 0.036569343065693476, 0.28183856502242155, 0.34597222222222224, 0.2169938107869142, 0.10445566778900112, 0.2877561608300908, 0.14261006289308178, 0.2557615317667537, 0.37087649402390443, 0.2925153913808267, 0.6057615317667537, 0.20632508833922258, 0.3219974309569685, 0.20678082191780822, 0.28708036622583927, 0.16851458885941648]"
task1,gpt-3.5-turbo-0125,opinionqa,Pew_American_Trends_Panel_disagreement_100,SEX,Female,express_distribution,0.25546,"[0.33659058487874466, 0.31340048348106364, 0.43657622277757946, 0.35716723549488055, 0.2561630695443645, 0.12021707670043416, 0.19980945659844743, 0.43931691818903895, 0.14220291997782294, 0.10006355932203388, 0.33166317051243627, 0.1665523156089194, 0.12, 0.36934782608695654, 0.04938250428816466, 0.17848670756646218, 0.23020746887966803, 0.19955638695884553, 0.28270450751252085, 0.1858297132927889, 0.4300539811066127, 0.39550970873786406, 0.4336932121859969, 0.15358059914407984, 0.038947368421052654, 0.2979971438771868, 0.5362623413258111, 0.3035058907533024, 0.17453125, 0.2245444801714898, 0.5477094972067039, 0.09287991498405948, 0.17346221441124782, 0.1687508821453776, 0.40019762845849804, 0.5, 0.3820677487649965, 0.2632844574780059, 0.3904835589941973, 0.45916606757728257, 0.16238783649052843, 0.18740531829170026, 0.27859562455892734, 0.24290502793296087, 0.09891788181120494, 0.0988224956063269, 0.024952178533475054, 0.5322104144527099, 0.2723823109843082, 0.15257586450247, 0.36683501683501685, 0.13449438202247194, 0.2663041182682155, 0.5, 0.17328158080451658, 0.10261115031757233, 0.2705369127516779, 0.4897662061636556, 0.24921456622634774, 0.14029567053854275, 0.3995652173913044, 0.46370826010544813, 0.17634438955539872, 0.10815090329436769, 0.5307035175879397, 0.17270327349524814, 0.10749202975557914, 0.34200339558573856, 0.15730416372618206, 0.2118443910552578, 0.5, 0.3945647731916633, 0.12276301806588734, 0.37264705882352944, 0.17428571428571427, 0.05762173606210306, 0.25, 0.339818763326226, 0.10610496251338807, 0.1899011997177135, 0.32835568101623147, 0.3331667261692253, 0.2724185248713551, 0.08492537313432837, 0.21149012567324954, 0.3077574370709383, 0.29843933725280597, 0.23062544931703807, 0.04085188770571155, 0.1571277719112988, 0.20948616600790515, 0.27762173606210305, 0.13337531486146093, 0.23240271331667262, 0.3504163726182075, 0.06781382228490833, 0.5, 0.07905096660808435, 0.15484286865431104, 0.17230050323508264]"
