Year,Summary,Title and Author,Genre
2023,"In Murray’s boisterous tragicomic novel, a once wealthy Irish family struggles with both the aftermath of the 2008 financial crash and their own inner demons.",The Bee Sting By Paul Murray,Fiction
2023,This satire — in which prison inmates duel on TV for a chance at freedom — makes readers complicit with the bloodthirsty fans sitting ringside. The fight scenes are so well written they demonstrate how easy it might be to accept a world this sick.,Chain Gang All Stars By Nana Kwame Adjei-Brenyah,Satire
2023,"In de Kerangal’s brief, lyrical novel, translated by Jessica Moore, a young Russian soldier on a trans-Siberian train decides to desert and turns to a civilian passenger, a Frenchwoman, for help.",Eastbound By Maylis De Kerangal,Fiction
2023,"Based on a celebrated 19th-century trial in which the defendant was accused of impersonating a nobleman, Smith’s novel offers a vast panoply of London and the English countryside, and successfully locates the social controversies of an era in a handful of characters.",The Fraud By Zadie Smith,Historical Fiction
2023,"Mason’s novel looks at the occupants of a single house in Massachusetts over several centuries, from colonial times to present day. An apple farmer, an abolitionist, a wealthy manufacturer: The book follows these lives and many others, with detours into natural history and crime reportage.",North Woods By Daniel Mason,Historical Fiction
2023,"A literary and compassionate examination of the porous line between brilliance and insanity, this riveting memoir traces the author’s childhood friendship and sometime rivalry with a neighbor and Yale classmate who is now in prison for murdering his girlfriend.",The Best Minds By Jonathan Rosen,Memoir
2023,"Howley writes about the national security state and those who get entangled in it — fabulists, truth tellers, combatants, whistle-blowers. Like many of us, they have left traces of themselves in the digital ether by making a phone call, texting a friend, looking something up online.",Bottoms Up And The Devil Laughs By Kerry Howley,Politics
2023,"This timely and riveting account of the 2016 McMurray wildfire explores not just that Canadian inferno but what it bodes for the future. Vaillant has a chillingly serious message: This is the inevitable result of climate change, and it will happen again and again.",Fire Weather By John Vaillant,"Science, Narrative Nonfiction"
2023,"Woo’s book recounts a daring feat: the successful flight north from Georgia in 1848 by an enslaved couple disguised as a sickly young white planter and his male slave. But her meticulous retelling is equally a feat — of research, storytelling, sympathy and insight.",Master Slave Husband Wife By Ilyon Woo,History
2023,"In powerful, gripping prose, a Philippine journalist recounts her investigation into the campaign of extrajudicial murders under former President Rodrigo Duterte.",Some People Need Killing By Patricia Evangelista,"Memoir, Investigative Reporting"
2022,"Egan’s sequel to “A Visit From the Goon Squad,” her Pulitzer Prize-winning novel, tells more than a dozen interrelated stories and defies neat summarizing. It’s about music, New York’s East Village, magazine journalism, San Francisco in the 1970s, Gen-X nostalgia, the digitalization of everything and the search, in the face of that digitalization, for forms of authenticity.",The Candy House By Jennifer Egan,Fiction
2022,Bennett’s enthralling second novel opens in a library and offers a paean to the written word; its narrator is a writer whose life has been blown imaginatively open by the transformative and transportive nature of reading.,Checkout 19 By Claire-Louise Bennett,Fiction
2022,"Kingsolver’s novel offers a close retelling of Charles Dickens’s “David Copperfield,” set in contemporary Appalachia and galloping through issues including poverty, addiction and rural dispossession even as its larger focus remains squarely on the question of how an artist’s consciousness is formed.",Demon Copperhead By Barbara Kingsolver,Fiction
2022,"After losing her brother when she was 12, the narrator of Serpell’s second novel keeps seeing men who resemble him as she works through her trauma long into adulthood. She enters an intimate relationship with one of them, who’s also haunted by his past. This richly layered book explores the nature of grief, how it can stretch and compress time and reshape our memories.",The Furrows By Namwali Serpell,Fiction
2022,"Diaz uncovers the secrets of an American fortune in the early 20th century, detailing the unchecked rise of a financier and the enigmatic talents of his wife. This exhilarating novel subverts readers’ expectations with each of its four parts while paying tribute to literary titans from Henry James to Jorge Luis Borges.",Trust By Hernan Diaz,Historical Fiction
2022,"Yong’s book urges readers to break outside their “sensory bubble” to consider the unique ways that dogs, dolphins, mice and other animals experience their surroundings. The book is filled with enthralling facts, like the way that a dolphin echolocating a human in water can perceive not only the human’s outer shape but also what’s inside, including skeleton and lungs. The book is “funny and elegantly written,” our critic Jennifer Szalai says, and showcases Yong’s “exceptional gifts as a storyteller.”",An Immense World By Ed Yong,Science
2022,"In his quietly wrenching memoir, Hsu recalls his college friendship with Ken, who was killed in a carjacking less than three years after they met.",Stay True By Hua Hsu,Memoir
2022,"In this intimate and revelatory book, Aviv writes about people who have experienced mental health crises, and how the psychiatric explanations offered for what they were going through often came up short.",Strangers To Ourselves By Rachel Aviv,Science
2022,"Through case histories and independent reporting, the author elegantly traces the life-or-death effects of the legacy of slavery on Black health today: reproductive, environmental, mental and more. Villarosa “repositions various narratives about race and medicine … as evidence not of Black inferiority, but of racism in the health care system,” our reviewer wrote.",Under The Skin By Linda Villarosa,Science
2022,"O’Toole, a prolific journalist and critic, didn’t think his own six decades merited an autobiography, so instead he wrote a “personal history” of contemporary Ireland in which the country’s dizzying 20th-century shifts — economic, religious, moral, social, political and geopolitical — come to vivid life via vignettes from O’Toole’s own life.",We Don'T Know Ourselves By Fintan O’Toole,History
2021,"Mbue’s quietly devastating second novel — about a fictional African village with high mortality due to an American oil company’s pollution — charts the ways oppression, be it at the hands of a government or a corporation or a society, can turn the most basic needs into radical acts.",How Beautiful We Were By Imbolo Mbue,Fiction
2021,"In the latest novel by the author of “A Separation,” a court translator in The Hague is tasked with intimately vanishing into the voices and stories of the “plethora of war criminals in our midst.”",Intimacies By Katie Kitamura,Fiction
2021,"This triumphant debut novel follows a young Black woman figuring out how to live with joy in the modern American South. The novel switches between the past and the present, alternating the heroine’s story with those of her ancestors.",The Love Songs Of W.E.B. Du Bois By Honorée Fanonne Jeffers,Fiction
2021,"This singular novel by Lockwood, a lauded memoirist and poet who first gained a following on Twitter, distills the experience of life online while transfiguring it into art. The result is a book that reads like a prose poem, at once sublime, profane, intimate, philosophical, witty and, eventually, deeply moving.",No One Is Talking About This By Patricia Lockwood,Experimental Fiction
2021,"Labatut’s singular imagination dazzles in this hybrid of fiction and biography, exploring the lives of major 20th-century scientists. His true subject is the ecstasy of discovery and the agonizing price it can exact.",When We Cease To Understand The World By Benjamín Labatut,Experimental Fiction
2021,"First published in Denmark in the 1960s and ’70s, Ditlevsen’s unstinting memoirs detail in luminous prose her hardscrabble upbringing, career path and merciless addictions: a powerful account of the struggle to reconcile art and life.",The Copenhagen Trilogy By Tove Ditlevsen,Memoir
2021,"Smith, a poet and journalist, spoke with scholars, guides, heritage fanatics and tourists as he visited sites key to America’s slavery past. The result is timely and profound, an eloquent view of a history we have yet fully to confront.",How The Word Is Passed By Clint Smith,Nonfiction
2021,"Expanding on a 2013 series for The Times about a homeless New York schoolgirl and her family, Elliott delivers a searing account of the family’s struggles with poverty and addiction in a city and country that have repeatedly failed to address these issues with efficacy or compassion.",Invisible Child By Andrea Elliott,"Investigative Reporting, Sociology"
2021,"In a book that is part memoir, part history, Gordon-Reed (who won a Pulitzer Prize in 2009 for “The Hemingses of Monticello”) recounts her continuing affection for her home state of Texas, despite its reputation for violence and racism, writing that “the things that happened there couldn’t have happened in other places.”",On Juneteenth By Annette Gordon-Reed,"Memoir, History"
2021,"The bar is high for a new Plath biography, but Clark’s meticulously researched account manages to be both riveting and revelatory, restoring complexity and nuance to a poet whose career has been overshadowed by the circumstances of her tragic early death.",Red Comet By Heather Clark,Biography
2020,"This superb novel begins as a generational comedy — a pack of kids and their middle-aged parents coexist in a summer share — and turns steadily darker, as climate collapse and societal breakdown encroach. But Millet’s light touch never falters; in this time of great upheaval, she implies, our foundational myths take on new meaning and hope.",A Children'S Bible: A Novel By Lydia Millet,Fiction
2020,"At the center of this raucous novel by the National Book Award-winning author of “The Good Lord Bird” are a hard-drinking church deacon and a sudden, inexplicable act of violence. But that’s just one strand of McBride’s tour de force, a book resounding with madcap characters and sly commentary on race, crime and inequality.",Deacon King Kong By James Mcbride,Fiction
2020,"Shakespeare’s son, Hamnet, died at 11, a few years before the playwright wrote “Hamlet.” O’Farrell’s wondrous new novel is at once an unsparingly eloquent record of love and grief and a vivid imagining of how a child’s death was transfigured into art.",Hamnet By Maggie O'Farrell,Historical Fiction
2020,"The latest novel from Akhtar is about the dream of national belonging that has receded for American Muslims in the years since 9/11. At once deeply personal and unreservedly political, the book often reads like a collection of essays illustrating the author’s prismatic identity.",Homeland Elegies By Ayad Akhtar,Fiction
2020,"Bennett’s gorgeously written second novel, an ambitious meditation on race and identity, considers the divergent fates of twin sisters, born in the Jim Crow South, after one decides to pass for white. Bennett balances the literary demands of dynamic characterization with the historical and social realities of her subject matter.",The Vanishing Half By Brit Bennett,Fiction
2020,"It reads like a Greek tragedy: Six of the Galvins’ 12 children developed schizophrenia. This book is much more than a narrative of despair, though; its most compelling chapters involve the scientists who studied the family, looking for genetic clues about the origins of this unfathomable disease.",Hidden Valley Road By Robert Kolker,"Narrative Nonfiction, Science"
2020,"The former president’s memoir — the first of two volumes — is a pleasure to read, the prose gorgeous, the detail granular and vivid. From Southeast Asia to a forgotten school in South Carolina, he evokes the sense of place with a light but sure hand. His focus is more political than personal, but when he does write about his family it is with a beauty close to nostalgia.",A Promised Land By Barack Obama,Memoir
2020,"Shapiro has long created Shakespeare treats for the common reader, but this time he outdoes himself. From John Quincy Adams’s racist attacks on “Othello” to the notorious Trump-as-Julius-Caesar Central Park production in 2017, he reminds us how divided we’ve been since our very beginnings, with the historical-tragical constantly muscling out the pastoral-comical.",Shakespeare In A Divided America By James Shapiro,Nonfiction
2020,"At 25, Wiener left a low-paying publishing job and wound up in San Francisco, in the hypercompetitive, male-dominated, morally obtuse world of tech start-ups. Her splendid memoir, stylish and unsparing, is a vital reckoning with an industry awash in self-delusion.",Uncanny Valley By Anna Wiener,Memoir
2020,This is a short book but a rich one with a profound theme. MacMillan argues that war — fighting and killing — is so intimately bound up with what it means to be human that viewing it as an aberration misses the point. War has led to many of civilization’s great disasters but also to many of civilization’s greatest achievements.,War By Margaret Macmillan,Nonfiction
2019,"When two sisters are kidnapped on the remote Kamchatka Peninsula in eastern Russia, it sends shock waves through the community.",Disappearing Earth By Julia Phillips,Fiction
2019,Many of these nine deeply beautiful stories explore the material consequences of various kinds of time travel. Reading this book feels like being seated at dinner with a friend who will explain the state of the sciences to you without an ounce of condescension.,Exhalation By Ted Chiang,Short Stories
2019,"This novel follows a couple and their children on a road trip from New York to the Mexican border, against a backdrop of immigration crisis. Luiselli has delivered a madly allusive, self-reflexive, experimental novel, one that is as much about storytellers and storytelling as it is about lost children.",Lost Children Archive By Valeria Luisell,Fiction
2019,The Irish writer’s latest novel features two aging Beckettian drug smugglers looking back on their battered lives as they pass the time in a seedy Spanish port.,Night Boat To Tangier By Kevin Barry,Fiction
2019,"Lerner’s exhilarating new novel — about a high school debate star in 1990s Kansas — rocks an American amplitude as it takes on psychiatry and language and toxic masculinity, and much else. Never before has Lerner’s fine ethnographic attunement been so joyously indulged, or the bubblicious texture of late Clintonism been so lovingly evoked.",The Topeka School By Ben Lerner,Fiction
2019,"Beginning in 1764, some of Britain’s future leading lights (including Samuel Johnson, Edmund Burke and Edward Gibbon) met every Friday night to talk and drink. Damrosch’s magnificent history revives the Club’s creative ferment.",The Club By Leo Damrosch,History
2019,This study of the 1986 Chernobyl disaster is a gripping detective story in which mistakes pile up as the narrative moves toward tragedy.,Midnight In Chernobyl By Adam Higginbotham,History
2019,"Snyder highlights an epidemic of unacknowledged violence. Fifty women a month are shot and killed by their partners, and she explores the problem from multiple perspectives: the victims, the aggressors and a society that turns a blind eye.",No Visible Bruises By Rachel Louise Snyder,Sociology
2019,"Part history, part true crime, Keefe’s book uses the abduction and murder of a Belfast mother to illuminate the bitter conflict known as the Troubles.",Say Nothing By Patrick Radden Keefe,"History, True Crime"
2019,"Part oral history, part urban history, part celebration of a bygone way of life, Broom’s extraordinary debut is a full indictment of the greed, discrimination and poor city planning that led her family’s New Orleans home to be wiped off the map.",The Yellow House By Sarah M. Broom,Memoir
2018,"This stunning debut comprises two novella-like sections, one about a young editor’s affair with an older author and the other about an Iraqi-American economist detained at Heathrow. The result is transgressive, shrewd and politically engaged.",Asymmetry By Lisa Halliday,Experimental Fiction
2018,"A novel that ricochets between Chicago in the mid-1980s, an era when AIDS was a death sentence, and present-day Paris, where the shadow of its contagion still looms over a mother in search of her errant daughter.",The Great Believers By Rebecca Makkai,Fiction
2018,"Two children die at the hands of their nanny in this devastating novel, an unnerving cautionary tale that won France’s prestigious Prix Goncourt and analyzes the intimate relationship between mothers and caregivers.",The Perfect Nanny By Leila Slimani,Thriller
2018,"Orange’s devastatingly beautiful debut novel, about a group of characters converging on the San Francisco Bay Area for an event called the “Big Oakland Powwow,” explores what it means to be an urban Native American.",There There By Tommy Orange,Fiction
