,QDem_Gend,QDem_Race,Q_DemRepub,QDem_Income,Q84,QDem_Age
0,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",6641edad07bdb5ab55169227,23
1,Female,Hispanic or Latino,Democrat,"$30,000 - $99,999",665294bea976e31f9602bf76,31
2,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",665377aea47ffa34fb49bd71,32
3,Male,White or Caucasian American,Democrat,"Less than $30,000",661e233193681e47ca4b48b6,26
4,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",5d0ff6c00bf48c00156d5a1b,42
5,Female,White or Caucasian American,Democrat,"$100,000 or more",5e31abbc8c04300298a269d7,31
6,Female,Black or African American,Democrat,"Less than $30,000",5ce6f7329962870015209dc2,36
7,Female,Asian or Asian American,Democrat,"$100,000 or more",6537d8e091fb476d9c73d610,30
8,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",60fda534f37377c73a0666d3,29
9,Female,White or Caucasian American,Democrat,"Less than $30,000",5ebcc104a2b52e11dfeee7f5,25
10,Female,Black or African American,Democrat,"Less than $30,000",5c9ff1898530320014a42788,33
11,Other,White or Caucasian American,Democrat,"$30,000 - $99,999",662c0114735b9f2e17f0a8be,35
12,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",60a83dd109652dbc1c5671ef,57
13,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",60f7768bad357509eabfb81b,32
14,Female,White or Caucasian American,Democrat,"Less than $30,000",663abe1a8ff8f916368ac386,33
15,Female,White or Caucasian American,Democrat,"$100,000 or more",5f4d9b883f20a00367ccff69,35
16,Male,White or Caucasian American,Democrat,"$100,000 or more",66508cdf476152760d7e78c4,25
17,Female,White or Caucasian American,Democrat,"Less than $30,000",65e01ed82bf613ad0f3d1bf0,60
18,Female,Black or African American,Democrat,"Less than $30,000",5e867394499bf02a03897f0a,23
19,Female,Black or African American,Democrat,"Less than $30,000",6648c0d4fa3b00043396163e,41
20,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",664642ab8e90512d006ed682,33
21,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",66044cd32c72d0117e890400,32
22,Male,Black or African American,Democrat,"$30,000 - $99,999",66435cc441ce49ef7519b6ee,40
23,Male,White or Caucasian American,Democrat,"$100,000 or more",66463b17bf9097fe3c29591e,35
24,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",6524011d585e785faf217f59,28
25,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",65e1279633e125c229f1adc8,33
26,Female,Hispanic or Latino,Democrat,"$30,000 - $99,999",66524b299704097838dc2cbc,23
27,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",66464644dd6117890c38fae8,33
28,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",6641044468ced0f9d3d96346,33
29,Female,Black or African American,Democrat,"$30,000 - $99,999",6646bebcf5a20c5a4a784007,29
30,Male,White or Caucasian American,Democrat,"Less than $30,000",66439fda98e091c70e79851c,30
31,Female,White or Caucasian American,Democrat,"$100,000 or more",61bb388840db417c1a138c8f,22
32,Female,White or Caucasian American,Democrat,"$100,000 or more",60fda4d1066af524850de37e,33
33,Female,White or Caucasian American,Democrat,"$100,000 or more",6647b9b43024e9d5b4bf1482,48
34,Female,Hispanic or Latino,Democrat,"$30,000 - $99,999",610424331b7bf5d4fa6ec1e5,25
35,Female,Hispanic or Latino,Democrat,"$30,000 - $99,999",631f4cf4e1195788480db63b,35
36,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",6650f3da72e0dcc860312e62,26
37,Female,Hispanic or Latino,Democrat,"$30,000 - $99,999",611880d3d174718bfff2fd10,25
38,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",6054424f135138da39aec321,36
39,Male,White or Caucasian American,Democrat,"$100,000 or more",6650da5e741ea905b850ae23,18
40,Female,Asian or Asian American,Democrat,"$30,000 - $99,999",65cbe5ae2ad1760b66e6e798,25
41,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",65749969b7cc21fe0c4f340c,41
42,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",66521a8488cd8e399e1da0ad,25
43,Female,White or Caucasian American,Democrat,"$100,000 or more",63162bda14b96736b08a554d,21
44,Male,White or Caucasian American,Democrat,"$100,000 or more",5e7072e5fb136c63e94f3fa4,41
45,Female,Black or African American,Democrat,"$30,000 - $99,999",63be3c7ab7bccecc7dc80cd4,40
46,Female,Black or African American,Democrat,"$30,000 - $99,999",66432c74b412b3acaf03de21,44
47,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",6469b26b2cf3b4b300c0cddc,31
48,Female,Black or African American,Democrat,"$30,000 - $99,999",5d57062817ee8d0001cda0f6,39
49,Female,Hispanic or Latino,Democrat,"Less than $30,000",6647ba01ae8df6fc49d49c05,59
50,Female,Hispanic or Latino,Democrat,"$100,000 or more",663d369f675a6365b7d2901f,45
51,Female,White or Caucasian American,Democrat,"$100,000 or more",6629a5e048524d4d8e43bd4f,48
52,Female,Other (please specify),Democrat,"$30,000 - $99,999",614809b50eb7b94a7b5c0100,24
53,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",5e3c1fbece3a7b000a6fd95a,42
54,Other,Hispanic or Latino,Democrat,"Less than $30,000",63b73bd5a6179e2e7297d96e,21
55,Female,Hispanic or Latino,Democrat,"$30,000 - $99,999",5e898d71f23c866174a5f7dc,23
56,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",5dc12689c0621a0910906454@email.prolific.com,65
57,Male,Asian or Asian American,Democrat,"Less than $30,000",664055c57b165c38262a8803,23
58,Male,White or Caucasian American,Democrat,"Less than $30,000",664677578cf8872a60444342,32
59,Male,Asian or Asian American,Democrat,"Less than $30,000",664e7baa0d6008036181a712,26
60,Male,Black or African American,Democrat,"$30,000 - $99,999",663bfcf4f8e7c63ae0973852,25
61,Male,Black or African American,Republican,"$100,000 or more",65c4977983d8ea8a9ce713e8,35
62,Female,White or Caucasian American,Democrat,"Less than $30,000",6639bc448033a441fd301e89,38
63,Male,Black or African American,Democrat,"$30,000 - $99,999",663e2b925ada651767651ef2,41
64,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",65d73ee0c7c5cd7171f32ecd,33
65,Female,Asian or Asian American,Democrat,"$100,000 or more",65cb985f293e43770c3a4eea,25
66,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",5c8afb535e65990001da9eeb,52
67,Female,White or Caucasian American,Democrat,"Less than $30,000",651c2174ae315a708c92d455,63
68,Female,Black or African American,Democrat,"$30,000 - $99,999",6595ca2f3e864efa3a8019d8,45
69,Female,Black or African American,Democrat,"Less than $30,000",5fcaa3f3d991a9748f8b9e1c,50
70,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",5c18b82aa510d3000128d1c1,42
71,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",62aa60c74a50d60989672ab6,59
72,Male,White or Caucasian American,Democrat,"$100,000 or more",5deaf0df6f9b7e221e81d2be,38
73,Female,Other (please specify),Democrat,"$100,000 or more",60fd27a38631ab78c66bd324,26
74,Male,Asian or Asian American,Democrat,"Less than $30,000",5654175604212700054a12b1,33
75,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",663fcb7f6d0a4f2e70e582bc,24
76,Male,White or Caucasian American,Democrat,"Less than $30,000",664cf412f465d48105837dac,45
77,Female,White or Caucasian American,Democrat,"Less than $30,000",5d4252914733ca0018ff29d7,56
78,Female,White or Caucasian American,Democrat,"$100,000 or more",61120b45c48a14ebaae1e5b2,68
79,Female,Asian or Asian American,Democrat,"Less than $30,000",6105a1c4c917a0075c3d3e8e,21
80,Female,White or Caucasian American,Democrat,"$100,000 or more",5d9420526928f000181e12f1,53
81,Female,White or Caucasian American,Democrat,"$100,000 or more",5cf95de476917e001636dab1,38
82,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",6650ee988709a4266409c5f9,20
83,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",63d0ca70331be3a97cb7b1d1,26
84,Female,White or Caucasian American,Democrat,"Less than $30,000",6100dfd366a4922c166c9a19,31
85,Male,Hispanic or Latino,Democrat,"Less than $30,000",5ebcada11ac87310b16fe61b,20
86,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",58e98b8c41b9a700018d580b,30
87,Female,White or Caucasian American,Democrat,"$100,000 or more",65e4930f2d864007d1c5b969,33
88,Female,Asian or Asian American,Democrat,"$30,000 - $99,999",65d50a7aed66caef5cd0017e,19
89,Female,Black or African American,Democrat,"$30,000 - $99,999",6565f3e2d595fe690edf5261,31
90,Male,Asian or Asian American,Democrat,"$30,000 - $99,999",6544580d8565fa7cf3ef97a6,37
91,Female,White or Caucasian American,Democrat,"$100,000 or more",5bae4d8156161d0001fe4c6e,38
92,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",600e25fbea27c243e8718123,29
93,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",66548da8a9c71c364407864e,32
94,Female,White or Caucasian American,Democrat,"$100,000 or more",5dd733664524e76dc4537fe2,37
95,Female,White or Caucasian American,Other (please specify),"$30,000 - $99,999",5fee5c55878eaa15ebc56b26,53
96,Female,White or Caucasian American,Democrat,"$100,000 or more",5fdc31e4516177125e63cc52,43
97,Other,White or Caucasian American,Democrat,"$30,000 - $99,999",6650e2ba4eceb07b4da4a7cd,26
98,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",6632bebab2c83f04274322ad,48
99,Male,White or Caucasian American,Democrat,"$30,000 - $99,999",6607306eef8a1a5e43226865,48
