Model Name,Dataset,Task Type,Alignment Mean,Alignment Error
gpt-3.5-turbo-0125 (V),three,task1_task3,0.29144528321177177,0.006763985073411166
gpt-3.5-turbo-0125 (Seq),three,task1_task3,0.31818023921714506,0.006514460814464801
gpt-3.5-turbo-0125 (Log-p),three,task1_task3,0.45549427872287523,0.007585315664232678
gpt-3.5-turbo-0125 (TS-Log-p),three,task1_task3,0.29627725847663905,0.0059015007931879915
gpt-4 (V),three,task1_task3,0.22903442124554024,0.00563017582159063
gpt-4 (Seq),three,task1_task3,0.2779287833159602,0.007556514089954919
gpt-4 (Log-p),three,task1_task3,0.5499114342054812,0.008434331117745442
gpt-4 (TS-Log-p),three,task1_task3,0.273488907875458,0.006375327423742222
anthropic_haiku (V),three,task1_task3,0.25404620349113305,0.006580233717410608
anthropic_haiku (Seq),three,task1_task3,0.3086322419159227,0.006054803732480435
anthropic_haiku (Log-p),three,task1_task3,,
anthropic_haiku (TS-Log-p),three,task1_task3,,
anthropic_opus (V),three,task1_task3,0.2263635496660524,0.005632133687422644
anthropic_opus (Seq),three,task1_task3,0.32513307133602476,0.00699412456374407
anthropic_opus (Log-p),three,task1_task3,,
anthropic_opus (TS-Log-p),three,task1_task3,,
llama3-70b (V),three,task1_task3,0.2439112216738469,0.006282814237803039
llama3-70b (Seq),three,task1_task3,0.3284297262251938,0.00755027935840713
llama3-70b (Log-p),three,task1_task3,0.4949252960272886,0.007729782223084125
llama3-70b (TS-Log-p),three,task1_task3,0.46940373483027575,0.009218350561035482
simulated,three,ground_truth,0.1147263271810035,0.004199421811910832
simulated,three,uniform,0.36343650972362446,0.00726457763430402
simulated,three,LB1,0.7115448604772652,0.012832558809620809
simulated,three,LB2,0.8434292501471481,0.01158074014710292
