Model Name,Dataset,Task Type,Alignment Mean,Alignment Error
gpt-3.5-turbo-0125 (V),opinionqa,task0,0.3935452736499635,0.013952014814185482
gpt-3.5-turbo-0125 (Seq),opinionqa,task0,0.3977453168065083,0.012794081034915694
gpt-3.5-turbo-0125 (Log-p),opinionqa,task0,0.5395868117812044,0.015714110526067526
gpt-3.5-turbo-0125 (TS-Log-p),opinionqa,task0,0.397961727006009,0.012700454354479085
gpt-4 (V),opinionqa,task0,0.3999702249398601,0.014566182073966621
gpt-4 (Seq),opinionqa,task0,0.38919603030984,0.014611678107905007
gpt-4 (Log-p),opinionqa,task0,0.7144373674119485,0.01783765505686835
gpt-4 (TS-Log-p),opinionqa,task0,0.4511540671283032,0.014583631614577541
anthropic_haiku (V),opinionqa,task0,0.42748441981316176,0.01477587982304257
anthropic_haiku (Seq),opinionqa,task0,0.37165127614750526,0.012533531508114232
anthropic_haiku (Log-p),opinionqa,task0,,
anthropic_haiku (TS-Log-p),opinionqa,task0,,
anthropic_opus (V),opinionqa,task0,0.451703368334602,0.013393036722780333
anthropic_opus (Seq),opinionqa,task0,0.48460249891436047,0.019377036785035773
anthropic_opus (Log-p),opinionqa,task0,,
anthropic_opus (TS-Log-p),opinionqa,task0,,
llama3-70b (V),opinionqa,task0,0.3960416642074067,0.013040971109619715
llama3-70b (Seq),opinionqa,task0,0.5007687369340106,0.020369465401225417
llama3-70b (Log-p),opinionqa,task0,0.6882333058130308,0.017869238900931506
llama3-70b (TS-Log-p),opinionqa,task0,0.6614704078629005,0.018309706900291156
gpt-3.5-turbo-0125 (V),opinionqa,task1,0.2916925495363632,0.013087111043895872
gpt-3.5-turbo-0125 (Seq),opinionqa,task1,0.31744978122906686,0.010994857002746217
gpt-3.5-turbo-0125 (Log-p),opinionqa,task1,0.339706611978708,0.01297404623933493
gpt-3.5-turbo-0125 (TS-Log-p),opinionqa,task1,0.29800236136700126,0.008158357748938055
gpt-4 (V),opinionqa,task1,0.1809105888636142,0.007132462021237948
gpt-4 (Seq),opinionqa,task1,0.23828950840707314,0.009327013205336424
gpt-4 (Log-p),opinionqa,task1,0.5067181245036734,0.014137521971114703
gpt-4 (TS-Log-p),opinionqa,task1,0.22445705413544492,0.0073326511838347486
anthropic_haiku (V),opinionqa,task1,0.2223438281024605,0.010812857863456538
anthropic_haiku (Seq),opinionqa,task1,0.2840756392390839,0.011681688588976946
